File_name,City,Population,Crime_type,Crime_count,Crime_category,Crime_year,City_size,County,State
OIBRS_CrimeData_2022.csv,Alliance,21328,Larceny,482,property,2022,small,Stark,Ohio
OIBRS_CrimeData_2022.csv,Alliance,21328,Motor vehicle theft,35,property,2022,small,Stark,Ohio
OIBRS_CrimeData_2017.csv,Amelia,4982,Murder,0,violent,2017,small,Clermont,Ohio
OIBRS_CrimeData_2017.csv,Amelia,4982,Rape,0,violent,2017,small,Clermont,Ohio
OIBRS_CrimeData_2017.csv,Amelia,4982,Robbery,0,violent,2017,small,Clermont,Ohio
OIBRS_CrimeData_2017.csv,Amelia,4982,Aggravated assault,3,violent,2017,small,Clermont,Ohio
OIBRS_CrimeData_2017.csv,Amelia,4982,Burglary,3,property,2017,small,Clermont,Ohio
OIBRS_CrimeData_2017.csv,Amelia,4982,Larceny,61,property,2017,small,Clermont,Ohio
OIBRS_CrimeData_2017.csv,Amelia,4982,Motor vehicle theft,3,property,2017,small,Clermont,Ohio
OIBRS_CrimeData_2018.csv,Amelia,4994,Murder,0,violent,2018,small,Clermont,Ohio
OIBRS_CrimeData_2018.csv,Amelia,4994,Rape,1,violent,2018,small,Clermont,Ohio
OIBRS_CrimeData_2018.csv,Amelia,4994,Robbery,0,violent,2018,small,Clermont,Ohio
OIBRS_CrimeData_2018.csv,Amelia,4994,Aggravated assault,1,violent,2018,small,Clermont,Ohio
OIBRS_CrimeData_2018.csv,Amelia,4994,Burglary,5,property,2018,small,Clermont,Ohio
OIBRS_CrimeData_2018.csv,Amelia,4994,Larceny,53,property,2018,small,Clermont,Ohio
OIBRS_CrimeData_2018.csv,Amelia,4994,Motor vehicle theft,2,property,2018,small,Clermont,Ohio
OIBRS_CrimeData_2017.csv,Amherst,12090,Murder,0,violent,2017,small,Lorain,Ohio
OIBRS_CrimeData_2017.csv,Amherst,12090,Rape,0,violent,2017,small,Lorain,Ohio
OIBRS_CrimeData_2017.csv,Amherst,12090,Robbery,2,violent,2017,small,Lorain,Ohio
OIBRS_CrimeData_2017.csv,Amherst,12090,Aggravated assault,4,violent,2017,small,Lorain,Ohio
OIBRS_CrimeData_2017.csv,Amherst,12090,Burglary,14,property,2017,small,Lorain,Ohio
OIBRS_CrimeData_2017.csv,Amherst,12090,Larceny,142,property,2017,small,Lorain,Ohio
OIBRS_CrimeData_2017.csv,Amherst,12090,Motor vehicle theft,3,property,2017,small,Lorain,Ohio
OIBRS_CrimeData_2018.csv,Amherst,12100,Murder,0,violent,2018,small,Lorain,Ohio
OIBRS_CrimeData_2018.csv,Amherst,12100,Rape,2,violent,2018,small,Lorain,Ohio
OIBRS_CrimeData_2018.csv,Amherst,12100,Robbery,3,violent,2018,small,Lorain,Ohio
OIBRS_CrimeData_2018.csv,Amherst,12100,Aggravated assault,7,violent,2018,small,Lorain,Ohio
OIBRS_CrimeData_2018.csv,Amherst,12100,Burglary,23,property,2018,small,Lorain,Ohio
OIBRS_CrimeData_2018.csv,Amherst,12100,Larceny,164,property,2018,small,Lorain,Ohio
OIBRS_CrimeData_2018.csv,Amherst,12100,Motor vehicle theft,1,property,2018,small,Lorain,Ohio
OIBRS_CrimeData_2019.csv,Amherst,12166,Murder,0,violent,2019,small,Lorain,Ohio
OIBRS_CrimeData_2019.csv,Amherst,12166,Rape,0,violent,2019,small,Lorain,Ohio
OIBRS_CrimeData_2019.csv,Amherst,12166,Robbery,3,violent,2019,small,Lorain,Ohio
OIBRS_CrimeData_2019.csv,Amherst,12166,Aggravated assault,1,violent,2019,small,Lorain,Ohio
OIBRS_CrimeData_2019.csv,Amherst,12166,Burglary,20,property,2019,small,Lorain,Ohio
OIBRS_CrimeData_2019.csv,Amherst,12166,Larceny,128,property,2019,small,Lorain,Ohio
OIBRS_CrimeData_2019.csv,Amherst,12166,Motor vehicle theft,4,property,2019,small,Lorain,Ohio
OIBRS_CrimeData_2020.csv,Amherst,12244,Murder,0,violent,2020,small,Lorain,Ohio
OIBRS_CrimeData_2020.csv,Amherst,12244,Rape,1,violent,2020,small,Lorain,Ohio
OIBRS_CrimeData_2020.csv,Amherst,12244,Robbery,5,violent,2020,small,Lorain,Ohio
OIBRS_CrimeData_2020.csv,Amherst,12244,Aggravated assault,0,violent,2020,small,Lorain,Ohio
OIBRS_CrimeData_2020.csv,Amherst,12244,Burglary,7,property,2020,small,Lorain,Ohio
OIBRS_CrimeData_2020.csv,Amherst,12244,Larceny,111,property,2020,small,Lorain,Ohio
OIBRS_CrimeData_2020.csv,Amherst,12244,Motor vehicle theft,2,property,2020,small,Lorain,Ohio
OIBRS_CrimeData_2021.csv,Amherst,12425,Murder,0,violent,2021,small,Lorain,Ohio
OIBRS_CrimeData_2021.csv,Amherst,12425,Rape,1,violent,2021,small,Lorain,Ohio
OIBRS_CrimeData_2021.csv,Amherst,12425,Robbery,0,violent,2021,small,Lorain,Ohio
OIBRS_CrimeData_2021.csv,Amherst,12425,Aggravated assault,4,violent,2021,small,Lorain,Ohio
OIBRS_CrimeData_2021.csv,Amherst,12425,Burglary,6,property,2021,small,Lorain,Ohio
OIBRS_CrimeData_2021.csv,Amherst,12425,Larceny,100,property,2021,small,Lorain,Ohio
OIBRS_CrimeData_2021.csv,Amherst,12425,Motor vehicle theft,1,property,2021,small,Lorain,Ohio
OIBRS_CrimeData_2022.csv,Amherst,12425,Murder,0,violent,2022,small,Lorain,Ohio
OIBRS_CrimeData_2022.csv,Amherst,12425,Rape,0,violent,2022,small,Lorain,Ohio
OIBRS_CrimeData_2022.csv,Amherst,12425,Robbery,0,violent,2022,small,Lorain,Ohio
OIBRS_CrimeData_2022.csv,Amherst,12425,Aggravated assault,1,violent,2022,small,Lorain,Ohio
OIBRS_CrimeData_2022.csv,Amherst,12425,Burglary,5,property,2022,small,Lorain,Ohio
OIBRS_CrimeData_2022.csv,Amherst,12425,Larceny,95,property,2022,small,Lorain,Ohio
OIBRS_CrimeData_2022.csv,Amherst,12425,Motor vehicle theft,1,property,2022,small,Lorain,Ohio
OIBRS_CrimeData_2017.csv,Apple Creek,1188,Murder,0,violent,2017,small,Wayne,Ohio
OIBRS_CrimeData_2017.csv,Apple Creek,1188,Rape,0,violent,2017,small,Wayne,Ohio
OIBRS_CrimeData_2017.csv,Apple Creek,1188,Robbery,0,violent,2017,small,Wayne,Ohio
OIBRS_CrimeData_2017.csv,Apple Creek,1188,Aggravated assault,2,violent,2017,small,Wayne,Ohio
OIBRS_CrimeData_2017.csv,Apple Creek,1188,Burglary,0,property,2017,small,Wayne,Ohio
OIBRS_CrimeData_2017.csv,Apple Creek,1188,Larceny,4,property,2017,small,Wayne,Ohio
OIBRS_CrimeData_2017.csv,Apple Creek,1188,Motor vehicle theft,0,property,2017,small,Wayne,Ohio
OIBRS_CrimeData_2018.csv,Apple Creek,1189,Murder,0,violent,2018,small,Wayne,Ohio
OIBRS_CrimeData_2018.csv,Apple Creek,1189,Rape,0,violent,2018,small,Wayne,Ohio
OIBRS_CrimeData_2018.csv,Apple Creek,1189,Robbery,0,violent,2018,small,Wayne,Ohio
OIBRS_CrimeData_2018.csv,Apple Creek,1189,Aggravated assault,0,violent,2018,small,Wayne,Ohio
OIBRS_CrimeData_2018.csv,Apple Creek,1189,Burglary,3,property,2018,small,Wayne,Ohio
OIBRS_CrimeData_2018.csv,Apple Creek,1189,Larceny,11,property,2018,small,Wayne,Ohio
OIBRS_CrimeData_2018.csv,Apple Creek,1189,Motor vehicle theft,1,property,2018,small,Wayne,Ohio
OIBRS_CrimeData_2019.csv,Apple Creek,1189,Murder,0,violent,2019,small,Wayne,Ohio
OIBRS_CrimeData_2019.csv,Apple Creek,1189,Rape,0,violent,2019,small,Wayne,Ohio
OIBRS_CrimeData_2019.csv,Apple Creek,1189,Robbery,0,violent,2019,small,Wayne,Ohio
OIBRS_CrimeData_2019.csv,Apple Creek,1189,Aggravated assault,0,violent,2019,small,Wayne,Ohio
OIBRS_CrimeData_2019.csv,Apple Creek,1189,Burglary,0,property,2019,small,Wayne,Ohio
OIBRS_CrimeData_2019.csv,Apple Creek,1189,Larceny,6,property,2019,small,Wayne,Ohio
OIBRS_CrimeData_2019.csv,Apple Creek,1189,Motor vehicle theft,0,property,2019,small,Wayne,Ohio
OIBRS_CrimeData_2020.csv,Apple Creek,1181,Murder,0,violent,2020,small,Wayne,Ohio
OIBRS_CrimeData_2020.csv,Apple Creek,1181,Rape,0,violent,2020,small,Wayne,Ohio
OIBRS_CrimeData_2020.csv,Apple Creek,1181,Robbery,0,violent,2020,small,Wayne,Ohio
OIBRS_CrimeData_2020.csv,Apple Creek,1181,Aggravated assault,1,violent,2020,small,Wayne,Ohio
OIBRS_CrimeData_2020.csv,Apple Creek,1181,Burglary,0,property,2020,small,Wayne,Ohio
OIBRS_CrimeData_2020.csv,Apple Creek,1181,Larceny,8,property,2020,small,Wayne,Ohio
OIBRS_CrimeData_2020.csv,Apple Creek,1181,Motor vehicle theft,0,property,2020,small,Wayne,Ohio
OIBRS_CrimeData_2021.csv,Apple Creek,1187,Murder,0,violent,2021,small,Wayne,Ohio
OIBRS_CrimeData_2021.csv,Apple Creek,1187,Rape,1,violent,2021,small,Wayne,Ohio
OIBRS_CrimeData_2021.csv,Apple Creek,1187,Robbery,0,violent,2021,small,Wayne,Ohio
OIBRS_CrimeData_2021.csv,Apple Creek,1187,Aggravated assault,0,violent,2021,small,Wayne,Ohio
OIBRS_CrimeData_2021.csv,Apple Creek,1187,Burglary,2,property,2021,small,Wayne,Ohio
OIBRS_CrimeData_2021.csv,Apple Creek,1187,Larceny,4,property,2021,small,Wayne,Ohio
OIBRS_CrimeData_2021.csv,Apple Creek,1187,Motor vehicle theft,0,property,2021,small,Wayne,Ohio
OIBRS_CrimeData_2022.csv,Apple Creek,1187,Murder,0,violent,2022,small,Wayne,Ohio
OIBRS_CrimeData_2022.csv,Apple Creek,1187,Rape,1,violent,2022,small,Wayne,Ohio
OIBRS_CrimeData_2022.csv,Apple Creek,1187,Robbery,0,violent,2022,small,Wayne,Ohio
OIBRS_CrimeData_2022.csv,Apple Creek,1187,Aggravated assault,0,violent,2022,small,Wayne,Ohio
OIBRS_CrimeData_2022.csv,Apple Creek,1187,Burglary,3,property,2022,small,Wayne,Ohio
OIBRS_CrimeData_2022.csv,Apple Creek,1187,Larceny,6,property,2022,small,Wayne,Ohio
OIBRS_CrimeData_2022.csv,Apple Creek,1187,Motor vehicle theft,0,property,2022,small,Wayne,Ohio
OIBRS_CrimeData_2017.csv,Archbold,4338,Murder,0,violent,2017,small,Fulton,Ohio
OIBRS_CrimeData_2017.csv,Archbold,4338,Rape,1,violent,2017,small,Fulton,Ohio
OIBRS_CrimeData_2017.csv,Archbold,4338,Robbery,0,violent,2017,small,Fulton,Ohio
